Date,Open,High,Low,Close*,Adj Close,Volume
"Jul 05, 2022",53501.21,53865.93,53054.3,53134.35,53134.35,6800
"Jul 04, 2022",52851.67,53301.99,52674.81,53234.77,53234.77,7000
"Jul 01, 2022",52863.34,53053.04,52094.25,52907.93,52907.93,7200
"Jun 30, 2022",52897.16,53377.54,52883.25,53018.94,53018.94,5600
"Jun 29, 2022",52623.15,53244.84,52612.68,53026.97,53026.97,5200
"Jun 28, 2022",52846.26,53301.4,52771.53,53177.45,53177.45,5500
"Jun 27, 2022",53468.89,53509.5,53120.79,53161.28,53161.28,5300
"Jun 24, 2022",52654.24,52909.87,52447.25,52727.98,52727.98,5000
"Jun 23, 2022",51972.75,52516.79,51632.85,52265.72,52265.72,5600
"Jun 22, 2022",52186.36,52272.85,51739.98,51822.53,51822.53,5800
"Jun 21, 2022",51897.6,52799.4,51808.76,52532.07,52532.07,5100
"Jun 20, 2022",51470.03,51714.61,51062.93,51597.84,51597.84,7000
"Jun 17, 2022",51181.99,51652.83,50921.22,51360.42,51360.42,8300
"Jun 16, 2022",53018.91,53142.5,51425.48,51495.79,51495.79,9200
"Jun 15, 2022",52650.41,52867.73,52493.36,52541.39,52541.39,5900
"Jun 14, 2022",52495.94,53095.32,52459.48,52693.57,52693.57,6900
"Jun 13, 2022",53184.61,53207.54,52527.08,52846.7,52846.7,7500
"Jun 10, 2022",54760.25,54780.78,54205.99,54303.44,54303.44,4800
"Jun 09, 2022",54514.17,55366.84,54507.41,55320.28,55320.28,6000
"Jun 08, 2022",55345.51,55423.97,54683.3,54892.49,54892.49,6000
"Jun 07, 2022",55373.18,55387.77,54882.41,55107.34,55107.34,3600
"Jun 06, 2022",55610.64,55832.28,55295.74,55675.32,55675.32,4300
"Jun 03, 2022",56245.6,56432.65,55719.36,55769.23,55769.23,5900
"Jun 02, 2022",55382.44,55891.92,55135.11,55818.11,55818.11,5900
"Jun 01, 2022",55588.27,55791.49,55091.43,55381.17,55381.17,7300
"May 31, 2022",55622.01,55925.62,55369.14,55566.41,55566.41,8300
"May 30, 2022",55507.75,56082.65,55466.3,55925.74,55925.74,5900
"May 27, 2022",54671.5,54936.63,54449.34,54884.66,54884.66,7000
"May 26, 2022",53950.84,54346.22,53425.25,54252.53,54252.53,7500
"May 25, 2022",54254.07,54379.59,53683.16,53749.26,53749.26,6200
"May 24, 2022",54307.56,54524.37,53886.28,54052.61,54052.61,5600
"May 23, 2022",54459.95,54931.3,54191.55,54288.61,54288.61,7100
"May 20, 2022",53513.97,54396.43,53403.29,54326.39,54326.39,7600
"May 19, 2022",53070.3,53356.04,52669.51,52792.23,52792.23,9100
"May 18, 2022",54554.89,54786,54130.89,54208.53,54208.53,5800
"May 17, 2022",53285.19,54399.42,53176.02,54318.47,54318.47,7400
"May 16, 2022",52946.32,53428.28,52632.48,52973.84,52973.84,4800
"May 13, 2022",53565.74,53785.71,52654.89,52793.62,52793.62,9300
"May 12, 2022",53608.35,53632.55,52702.3,52930.31,52930.31,6900
"May 11, 2022",54544.91,54598.55,53519.3,54088.39,54088.39,7200
"May 10, 2022",54309.31,54857.02,54226.33,54364.85,54364.85,8000
"May 09, 2022",54188.21,54795.47,53918.02,54470.67,54470.67,9300
"May 06, 2022",54928.29,55070.12,54586.75,54835.58,54835.58,8000
"May 05, 2022",56255.07,56566.8,55613.82,55702.23,55702.23,8200
"May 04, 2022",57124.91,57184.21,55501.6,55669.03,55669.03,50700
"May 02, 2022",56429.45,57054.23,56412.62,56975.99,56975.99,7900
